euring_code,scientific_name,language_code,common_name
00040,Gavia immer,mk,голем морски нуркач
00040,Gavia immer,nl,IJsduiker
00040,Gavia immer,no,islom
00040,Gavia immer,pl,(nur) lodowiec
00040,Gavia immer,pt,mobelha-grande
00040,Gavia immer,ro,Cufundar mare
00040,Gavia immer,ru,Черноклювая гагара
00040,Gavia immer,sk,potáplica veľká
00040,Gavia immer,sl,ledni slapnik
00040,Gavia immer,sr,Veliki morski gnjurac
00040,Gavia immer,sv,svartnäbbad islom
00040,Gavia immer,tr,Buz Dalgıcı
00040,Gavia immer,uk,гагара полярна
00050,Gavia adamsii,be,Беладзюбы гагач
00050,Gavia adamsii,bg,Жълтоклюн гмуркач
00050,Gavia adamsii,cs,potáplice žlutozobá
00050,Gavia adamsii,da,Hvidnæbbet Lom
00050,Gavia adamsii,de,Gelbschnabeltaucher
00050,Gavia adamsii,en,Yellow-billed Loon
00050,Gavia adamsii,es,Colimbo de Adams
00050,Gavia adamsii,et,tundrakaur
00050,Gavia adamsii,fi,jääkuikka
00050,Gavia adamsii,fr,Plongeon à bec blanc
00050,Gavia adamsii,hr,žutokljuni plijenor
00050,Gavia adamsii,hu,fehércsőrű búvár
00050,Gavia adamsii,is,Svalbrúsi
00050,Gavia adamsii,it,Strolaga beccogiallo
00050,Gavia adamsii,lt,baltasnapis naras
00050,Gavia adamsii,lv,dzeltenknābja gārgale
00050,Gavia adamsii,nl,Geelsnavelduiker
00050,Gavia adamsii,no,gulnebblom
00050,Gavia adamsii,pl,nur białodzioby
00050,Gavia adamsii,pt,mobelha-de-bico-amarelo
00050,Gavia adamsii,ru,Белоклювая гагара
00050,Gavia adamsii,sk,potáplica bielozobá
00050,Gavia adamsii,sl,rumenokljuni slapnik
00050,Gavia adamsii,sr,Žutokljuni morski gnjurac
00050,Gavia adamsii,sv,vitnäbbad islom
00050,Gavia adamsii,tr,Sarı Gagalı Dalgıç
00050,Gavia adamsii,uk,гагара білодзьоба
00060,Podilymbus podiceps,bg,Пъстроклюн гмурец
00060,Podilymbus podiceps,cs,potápka americká
00060,Podilymbus podiceps,da,Tyknæbbet Lappedykker
00060,Podilymbus podiceps,de,Bindentaucher
00060,Podilymbus podiceps,en,Pied-billed Grebe
00060,Podilymbus podiceps,es,Zampullín picogrueso
