place_code,country_code,active,latin_name
ERLU,IRL,true,Louth
ERLX,IRL,true,Laois
ERMA,IRL,true,Mayo
ERME,IRL,true,Meath
ERMO,IRL,true,Monaghan
EROF,IRL,true,Offaly
ERRO,IRL,true,Roscommon
ERSL,IRL,true,Sligo
ERTP,IRL,true,Tipperary
ERWA,IRL,true,Waterford
ERWI,IRL,true,Wicklow
ERWM,IRL,true,Westmeath
ERWX,IRL,true,Wexford
ES--,ESP,true,Spain
ES0-,ESP,true,Atlantic coast
ES00,ESP,true,?lava
ES01,ESP,true,La Coru?a
ES02,ESP,true,Guip?zcoa
ES03,ESP,true,Lugo
ES04,ESP,true,Orense
ES05,ESP,true,Asturias
ES06,ESP,true,Pontevedra
ES07,ESP,true,Cantabria
ES08,ESP,true,Vizcaya
ES1-,ESP,true,Centra; north-west
ES10,ESP,true,Avila
ES11,ESP,true,Burgos
ES12,ESP,true,Le?n
ES13,ESP,true,La Rioja (Logro?o)
ES14,ESP,true,Palencia
ES15,ESP,true,Salamanca
ES16,ESP,true,Segovia
ES17,ESP,true,Soria
ES18,ESP,true,Valladolid
ES19,ESP,true,Zamora
ES2-,ESP,true,Central; north-east
ES20,ESP,true,Cuenca
ES21,ESP,true,Guadalajara
ES22,ESP,true,Huesca
ES23,ESP,true,L?rida
ES24,ESP,true,Navarra
ES25,ESP,true,Teruel
ES26,ESP,true,Zaragoza
ES3-,ESP,true,North-east coast
ES30,ESP,true,Barcelona
ES31,ESP,true,Castell?n
ES32,ESP,true,Girona
ES33,ESP,true,Tarragona
ES4-,ESP,true,South-east coast
ES40,ESP,true,Albacete
ES41,ESP,true,Alicante
ES42,ESP,true,Almeria
ES43,ESP,true,Murcia
ES44,ESP,true,Valencia
ES5-,ESP,true,Central; south
ES50,ESP,true,Badajoz
ES51,ESP,true,C?ceres
ES52,ESP,true,Ciudad Real
ES53,ESP,true,Madrid
ES54,ESP,true,Toledo
ES6-,ESP,true,South
ES60,ESP,true,C?diz
ES61,ESP,true,C?rdoba
ES62,ESP,true,Granada
ES63,ESP,true,Huelva
ES64,ESP,true,Ja?n
ES65,ESP,true,M?laga
ES66,ESP,true,Sevilla
ES7-,ESP,true,Baleares
